Edge Detection Report
=====================
Dataset   : uscsipi
Edge type : horizontal
Images    : 77

Input file                                        Output file                                               Time (ms)
Total time   : 3175.36 ms
Average/file : 41.24 ms
---------------------------------------------------------------------------------------------------------------------

data/uscsipi_images/img_0061.jpg                  data/outputs/uscsipi_horizontal_img_61.pgm                    54.81
data/uscsipi_images/img_0062.jpg                  data/outputs/uscsipi_horizontal_img_62.pgm                    14.94
data/uscsipi_images/img_0063.jpg                  data/outputs/uscsipi_horizontal_img_63.pgm                    13.80
data/uscsipi_images/img_0064.jpg                  data/outputs/uscsipi_horizontal_img_64.pgm                    19.17
data/uscsipi_images/img_0065.jpg                  data/outputs/uscsipi_horizontal_img_65.pgm                    16.31
data/uscsipi_images/img_0066.jpg                  data/outputs/uscsipi_horizontal_img_66.pgm                    16.63
data/uscsipi_images/img_0067.jpg                  data/outputs/uscsipi_horizontal_img_67.pgm                    12.30
data/uscsipi_images/img_0068.jpg                  data/outputs/uscsipi_horizontal_img_68.pgm                    13.85
data/uscsipi_images/img_0069.jpg                  data/outputs/uscsipi_horizontal_img_69.pgm                    21.11
data/uscsipi_images/img_0070.jpg                  data/outputs/uscsipi_horizontal_img_70.pgm                    16.16
data/uscsipi_images/img_0071.jpg                  data/outputs/uscsipi_horizontal_img_71.pgm                    15.46
data/uscsipi_images/img_0072.jpg                  data/outputs/uscsipi_horizontal_img_72.pgm                    60.38
data/uscsipi_images/img_0073.jpg                  data/outputs/uscsipi_horizontal_img_73.pgm                    11.69
data/uscsipi_images/img_0074.jpg                  data/outputs/uscsipi_horizontal_img_74.pgm                    11.72
data/uscsipi_images/img_0075.jpg                  data/outputs/uscsipi_horizontal_img_75.pgm                    15.13
data/uscsipi_images/img_0076.jpg                  data/outputs/uscsipi_horizontal_img_76.pgm                    12.14
---------------------------------------------------------------------------------------------------------------------
